Machine_ID,Temperature,Run_Time,Downtime_Flag
1,70,428,0
2,80,272,0
3,76,537,0
4,109,634,0
5,74,299,1
6,97,368,0
7,113,825,0
8,72,722,1
9,111,569,0
10,106,797,1
11,113,846,1
12,80,704,0
13,99,573,0
14,107,328,0
15,74,998,0
16,66,413,0
17,72,667,0
18,97,424,0
19,116,745,0
20,118,858,0
21,110,788,0
22,78,630,0
23,91,352,0
24,103,804,1
25,110,127,0
26,85,114,0
27,80,206,0
28,62,462,0
29,102,878,0
30,64,450,0
31,85,413,0
32,102,714,0
33,116,146,0
34,95,742,0
35,60,850,0
36,94,177,0
37,65,758,1
38,93,414,0
39,63,490,0
40,62,676,0
41,80,804,0
42,102,886,0
43,83,607,0
44,86,632,0
45,115,638,0
46,86,777,1
47,98,202,0
48,107,523,0
49,110,167,0
50,66,784,0
51,71,825,0
52,86,129,0
53,114,587,0
54,80,373,0
55,106,767,0
56,112,234,0
57,106,473,0
58,72,795,0
59,102,812,0
60,81,637,1
61,89,934,1
62,88,591,1
63,102,163,1
64,91,734,0
65,113,733,0
66,79,257,1
67,103,150,0
68,95,433,0
69,83,521,1
70,80,627,0
71,62,191,0
72,78,251,1
73,65,822,0
74,61,731,0
75,113,497,0
76,116,534,0
77,80,918,0
78,83,662,0
79,100,719,0
80,77,692,0
81,60,828,0
82,114,485,0
83,83,238,0
84,62,476,0
85,95,471,0
86,82,681,1
87,73,965,0
88,119,844,0
89,105,228,0
90,117,163,0
91,70,221,1
92,119,467,0
93,115,660,0
94,73,807,0
95,103,649,0
96,107,390,0
97,65,753,1
98,78,802,0
99,80,723,1
100,65,772,0
